,id,name,MP,GA,GA90,SoTA,Saves%,CS%,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT%,G/Sh
368,3ae14ed1,Trezeguet,205,0,0.0,0.0,0.0,0.0,53,30,4,5,20,4,428,19.125,0.85
369,6c6a3300,Milot Rashica,241,0,0.0,0.0,0.0,0.0,42,38,4,5,10,0,300,25.172222222222224,0.9700000000000002
370,df3cda47,Dejan Kulusevski,154,0,0.0,0.0,0.0,0.0,26,32,1,1,17,0,190,36.04705882352941,1.92
371,984a5a64,Kyle Walker Peters,143,0,0.0,0.0,0.0,0.0,7,13,0,0,19,0,75,8.368181818181819,0.8600000000000001
372,6613c819,Tomas Soucek,279,0,0.0,0.0,0.0,0.0,55,11,8,9,40,1,209,22.294736842105262,0.7
373,f63d8a4b,Todd Cantwell,168,0,0.0,0.0,0.0,0.0,20,14,3,3,26,0,176,17.923529411764704,0.6
374,862a1c15,Miguel Almiron,250,0,0.0,0.0,0.0,0.0,47,31,5,6,19,0,459,22.409523809523808,1.28
375,b8d22478,Samuel Kalu,148,0,0.0,0.0,0.0,0.0,21,19,0,1,25,3,149,21.907142857142855,0.6
376,fa031b34,Richarlison,257,0,0.0,0.0,0.0,0.0,71,22,6,7,41,2,571,30.9,2.6
377,a53649b7,Eddie Nketiah,176,0,0.0,0.0,0.0,0.0,64,10,0,2,9,1,208,34.28620689655172,3.99
378,30d4a2e5,Vitaliy Mykolenko,153,0,0.0,0.0,0.0,0.0,8,15,0,0,21,0,33,19.542857142857144,0.5
379,6afaebf2,Bryan Mbeumo,195,0,0.0,0.0,0.0,0.0,48,30,3,3,21,0,279,29.279999999999998,1.6300000000000001
380,9c94165b,Luke Shaw,300,0,0.0,0.0,0.0,0.0,4,23,0,0,65,1,99,18.571428571428573,0.4800000000000001
381,0ef89a37,Philippe Coutinho,438,0,0.0,0.0,0.0,0.0,105,70,6,6,25,2,570,18.3219512195122,1.7100000000000004
382,8d62d31a,Joe Rodon,121,0,0.0,0.0,0.0,0.0,1,1,0,0,9,1,33,3.375,0.14
383,e514ab62,Matt Targett,202,0,0.0,0.0,0.0,0.0,6,14,1,1,23,0,61,10.684000000000001,0.65
384,e7aa9d7c,Fabio Silva,107,0,0.0,0.0,0.0,0.0,14,8,3,3,10,0,164,31.083333333333332,0.32
385,282679b4,Mateusz Klich,358,0,0.0,0.0,0.0,0.0,46,42,11,13,64,2,255,12.944,0.7
386,ab070c55,Christian Benteke,440,0,0.0,0.0,0.0,0.0,136,37,10,18,53,7,375,13.515151515151516,0.52
387,dd897ee7,Liam Delap,64,0,0.0,0.0,0.0,0.0,36,8,1,2,12,1,47,22.84166666666667,1.08
388,ad1f61f3,Steven Alzate,123,0,0.0,0.0,0.0,0.0,10,7,0,0,11,0,30,27.984210526315792,3.3400000000000003
389,21a66f6a,Harry Kane,461,0,0.0,0.0,0.0,0.0,271,56,37,42,46,1,1028,25.485365853658532,4.410000000000001
390,4b511457,Oriol Romeu,362,0,0.0,0.0,0.0,0.0,10,7,0,0,96,0,148,10.502702702702702,0.4
391,9a71e978,Ki Jana Hoever,56,0,0.0,0.0,0.0,0.0,1,4,0,0,4,1,13,3.3333333333333335,0.5
392,e9254eec,Grant Hanley,377,0,0.0,0.0,0.0,0.0,15,7,0,0,70,4,105,13.939285714285715,1.34
393,420d7c7d,Luke Ayling,490,0,0.0,0.0,0.0,0.0,14,37,0,0,81,5,138,4.2333333333333325,0.27
394,67ac5bb8,Gabriel Dos Santos,177,0,0.0,0.0,0.0,0.0,13,2,0,0,34,2,102,13.79166666666667,0.8200000000000001
395,cc70a1d5,Jack Butland,291,388,26.98,1226.0,53.72608695652173,26.491304347826084,0,0,0,0,4,0,0,0.0,0.0
396,eb7822d7,Nemanja Matic,477,0,0.0,0.0,0.0,0.0,22,30,0,0,94,5,102,14.16,1.0699999999999998
397,7e003182,Finley Stevens,15,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
398,ac0d576d,Jeremy Sarmiento,22,0,0.0,0.0,0.0,0.0,1,2,0,0,2,0,8,6.666666666666667,0.0
399,89d10e53,Danny Rose,283,0,0.0,0.0,0.0,0.0,10,24,0,0,64,2,58,3.361764705882353,0.09
400,507c7bdf,Bruno Fernandes,413,0,0.0,0.0,0.0,0.0,128,99,38,41,80,2,820,25.46774193548387,1.9500000000000004
